# F-006 Work's Over!! Recognition Result
# Date: 2026-02-23 19:28:39
# Image dir: /home/ogu4/git/shakeop/data/test_fixtures/works_over
# Threshold: 256
filename	result	confidence
negative/vlcsnap-2026-02-23-14h39m04s541.png	WORKS_OVER	0.4727
negative/vlcsnap-2026-02-23-14h39m06s988.png	WORKS_OVER	0.5156
negative/vlcsnap-2026-02-23-14h39m11s344.png	WORKS_OVER	0.5195
negative/vlcsnap-2026-02-23-14h39m14s172.png	WORKS_OVER	0.4648
negative/vlcsnap-2026-02-23-14h39m18s405.png	WORKS_OVER	0.4297
negative/vlcsnap-2026-02-23-14h39m21s485.png	WORKS_OVER	0.4375
negative/vlcsnap-2026-02-23-14h39m23s911.png	WORKS_OVER	0.4336
negative/vlcsnap-2026-02-23-14h39m27s610.png	WORKS_OVER	0.5273
negative/vlcsnap-2026-02-23-14h39m33s165.png	WORKS_OVER	0.4961
negative/vlcsnap-2026-02-23-14h39m41s710.png	WORKS_OVER	0.5234
negative/vlcsnap-2026-02-23-14h39m55s414.png	WORKS_OVER	0.4648
negative/vlcsnap-2026-02-23-14h40m00s822.png	WORKS_OVER	0.5547
negative/vlcsnap-2026-02-23-14h40m16s033.png	WORKS_OVER	0.4844
negative/vlcsnap-2026-02-23-14h40m58s760.png	WORKS_OVER	0.5195
negative/vlcsnap-2026-02-23-14h41m04s666.png	WORKS_OVER	0.5117
negative/vlcsnap-2026-02-23-14h43m45s926.png	WORKS_OVER	0.4922
negative/vlcsnap-2026-02-23-14h43m49s136.png	WORKS_OVER	0.4766
negative/vlcsnap-2026-02-23-14h43m51s755.png	WORKS_OVER	0.4922
negative/vlcsnap-2026-02-23-14h43m54s375.png	WORKS_OVER	0.4883
negative/vlcsnap-2026-02-23-14h43m56s757.png	WORKS_OVER	0.4961
negative/vlcsnap-2026-02-23-14h44m01s915.png	WORKS_OVER	0.4688
negative/vlcsnap-2026-02-23-14h44m06s999.png	WORKS_OVER	0.4531
negative/vlcsnap-2026-02-23-14h44m11s711.png	WORKS_OVER	0.4531
negative/vlcsnap-2026-02-23-14h44m17s557.png	WORKS_OVER	0.5273
negative/vlcsnap-2026-02-23-14h44m28s025.png	WORKS_OVER	0.5312
negative/vlcsnap-2026-02-23-14h44m33s354.png	WORKS_OVER	0.5078
negative/vlcsnap-2026-02-23-14h44m37s707.png	WORKS_OVER	0.4609
negative/vlcsnap-2026-02-23-14h44m52s117.png	WORKS_OVER	0.5078
negative/vlcsnap-2026-02-23-14h45m06s438.png	WORKS_OVER	0.5195
negative/vlcsnap-2026-02-23-14h45m15s236.png	WORKS_OVER	0.5508
negative/vlcsnap-2026-02-23-14h45m21s300.png	WORKS_OVER	0.5078
negative/vlcsnap-2026-02-23-14h45m26s908.png	WORKS_OVER	0.5312
negative/vlcsnap-2026-02-23-14h45m27s050.png	WORKS_OVER	0.5312
negative/vlcsnap-2026-02-23-14h45m31s963.png	WORKS_OVER	0.4297
negative/vlcsnap-2026-02-23-14h45m46s468.png	WORKS_OVER	0.5234
negative/vlcsnap-2026-02-23-14h46m01s474.png	WORKS_OVER	0.5117
negative/vlcsnap-2026-02-23-14h46m10s886.png	WORKS_OVER	0.5195
negative/vlcsnap-2026-02-23-14h46m20s225.png	WORKS_OVER	0.5156
negative/vlcsnap-2026-02-23-14h46m33s037.png	WORKS_OVER	0.4883
negative/vlcsnap-2026-02-23-14h46m38s518.png	WORKS_OVER	0.5312
positive/vlcsnap-2026-02-23-19h02m23s715.png	WORKS_OVER	1.0000
